,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
0,0.5126922138149866,0.7232392181197641,0.0,0.0,0.5224880382775119,0.525685212538979,0.9860139860140009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5128752745911643,0.7125349053676698,0.0,0.0,0.5349282296650717,0.5471852946003608,0.9870129870130029,0.0,0.0,0.0,0.0,0.0,4.0011203136878324e-05,0.0
2,0.5130461313155968,0.7015203226807322,0.0,0.0,0.5441786283891545,0.5657311669128506,0.9863469863470016,0.0,0.0,0.0,0.0,0.0,8.002240627375665e-05,0.0
3,0.5132291920917745,0.6909711448960595,0.0,0.0,0.5492822966507176,0.5796816018381747,0.9861249861249917,0.0,0.0,0.0,0.0,0.0,0.00012003360941063497,0.0
4,0.5134122528679522,0.6818181818181818,0.0,0.0,0.5534290271132374,0.5914984408337434,0.9870129870130029,0.0,0.0,0.0,0.0,0.0,0.0001600448125475133,0.0
5,0.5135831095923847,0.6729754886751473,0.0,0.0,0.5585326953748004,0.6041358936484489,0.984903984903994,0.0,0.0,0.0,0.0,0.0,0.0002000560156843916,0.0
6,0.5137661703685624,0.6650636053366428,0.0,0.0,0.5626794258373202,0.6139832594780894,0.9863469863470016,0.0,0.0,0.0,0.0,0.0,0.00024006721882126995,0.0
7,0.5139492311447401,0.658703071672355,0.0,0.0,0.5649122807017544,0.6231741342524209,0.9885669885670012,0.0,0.0,0.0,0.0,0.0,0.0002800784219581483,0.0
8,0.5141200878691726,0.6526528079429104,0.0,0.0,0.5677830940988833,0.6299031675693416,0.9885669885670012,0.0,0.0,0.0,0.0,0.0,0.0003200896250950266,0.0
9,0.5143031486453503,0.6472230840831523,0.0,0.0,0.5693779904306218,0.6364680781224354,0.9883449883449913,6.278913524709966e-05,8.320079168414689e-05,0.0,8.415731349976537e-05,9.258507452665547e-05,0.0003601008282319049,0.0
10,0.5144740053697828,0.6424139000930809,0.0,0.0,0.5696969696969694,0.6422123748563924,0.988455988455982,6.209147818879856e-05,8.166003628258862e-05,0.0,8.261632355241329e-05,9.09198753445214e-05,0.0004001120313687832,0.0
11,0.5146570661459605,0.6376047161030096,0.0,0.0,0.5738437001594896,0.6477925488265224,0.9881229881229956,5.860319289729302e-05,7.725787799242212e-05,0.0,7.807040320772467e-05,8.592427779811912e-05,0.0004401232345056616,0.0
12,0.514827922870393,0.6341917468197331,0.0,0.0,0.5738437001594896,0.6535368455604793,0.9882339882340005,5.65102217223897e-05,7.439647510381389e-05,0.0,7.529662130249092e-05,8.286031130299239e-05,0.0004801344376425399,0.0
13,0.5150109836465707,0.630623642569035,0.0,0.0,0.5744816586921848,0.6564910553093712,0.9885669885670012,5.162662231428195e-05,6.84535614120891e-05,0.0,6.911339913874071e-05,7.606629863988531e-05,0.0005201456407794182,0.0
14,0.5151818403710032,0.6272106732857586,0.0,5.0335570469799314e-05,0.5741626794258372,0.6599376333497453,0.986790986790993,4.953365113937862e-05,6.515194269446424e-05,0.0,6.585805787495946e-05,7.246946840647566e-05,0.0005601568439162966,0.0
15,0.5153649011471809,0.6244182438721688,0.0,0.0,0.5763955342902709,0.663876579681602,0.986679986679988,4.465005173127087e-05,5.854870525921448e-05,0.0,5.927032585002931e-05,6.52425039560137e-05,0.0006001680470531748,0.0
